sample_name,team,player,games,total_minutes,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,turnovers_per_game,fg_pct,three_pct,true_shooting_pct,usage_pct,assist_pct,turnover_pct,average_plus_minus
Playoffs Before Finals,NYK,Mitchell Robinson,13,183.7,14.1,5.3,5.5,0.3,0.5,73.7,,60.6,14.6,2.8,7.2,5.2
Playoffs Before Finals,NYK,Jordan Clarkson,14,165.4,11.8,5.4,1.8,0.7,0.9,47.5,15.4,54.1,19.1,8.2,14.8,5.5
Playoffs Before Finals,NYK,Jose Alvarado,13,109.7,8.4,4.2,0.9,1.1,0.6,48.8,40.9,60.9,19.5,18.9,10.1,5.0
Playoffs Before Finals,NYK,Ariel Hukporti,8,70.4,8.8,2.1,3.9,0.3,0.6,45.5,0.0,48.3,12.5,3.7,20.2,0.9
Playoffs Before Finals,NYK,Tyler Kolek,8,53.3,6.7,3.5,0.8,1.5,0.4,44.0,44.4,54.1,21.7,33.1,7.2,-0.8
Playoffs Before Finals,NYK,Mohamed Diawara,6,42.6,7.1,1.2,1.5,1.0,0.5,23.1,16.7,26.9,15.6,19.1,15.0,-2.0
Playoffs Before Finals,NYK,Pacôme Dadiet,7,40.0,5.7,2.9,1.0,0.4,0.3,50.0,37.5,59.2,20.0,11.2,10.0,-0.4
Playoffs Before Finals,SAS,Devin Vassell,18,609.1,33.8,13.0,4.9,2.7,1.1,41.1,35.6,54.1,15.9,11.1,7.2,8.6
Playoffs Before Finals,SAS,Stephon Castle,18,602.3,33.5,19.2,4.9,6.7,3.7,48.1,36.3,60.9,24.6,31.3,13.5,5.3
Playoffs Before Finals,SAS,Victor Wembanyama,17,551.8,32.5,23.2,10.8,2.7,2.7,51.0,37.0,63.6,27.1,14.4,11.1,11.1
Playoffs Before Finals,SAS,Julian Champagnie,18,547.3,30.4,11.3,5.8,1.5,0.5,45.4,39.3,62.4,13.1,6.8,4.8,8.3
Playoffs Before Finals,SAS,De'Aaron Fox,16,521.5,32.6,16.4,4.0,5.9,1.8,43.5,31.1,51.6,22.6,28.0,7.5,7.6
Playoffs Before Finals,SAS,Dylan Harper,18,460.2,25.6,13.1,5.3,2.6,1.6,52.5,36.4,62.7,19.6,16.1,11.2,7.9
Playoffs Before Finals,SAS,Keldon Johnson,18,335.6,18.6,8.7,3.4,0.9,1.2,41.7,36.0,50.5,21.2,7.9,11.0,0.4
Playoffs Before Finals,SAS,Luke Kornet,18,254.2,14.1,4.5,4.4,0.8,0.6,58.9,100.0,63.4,11.7,7.8,10.7,-0.7
Playoffs Before Finals,SAS,Harrison Barnes,18,165.9,9.2,2.6,1.3,0.2,0.3,35.1,25.0,52.2,12.6,2.4,6.8,2.5
Playoffs Before Finals,SAS,Carter Bryant,17,164.2,9.7,2.9,2.1,0.9,0.7,48.7,38.5,60.1,14.0,12.8,19.3,1.8
Playoffs Before Finals,SAS,Jordan McLaughlin,10,46.1,4.6,1.9,0.8,1.0,0.2,63.6,60.0,80.0,12.3,27.6,6.3,-0.3
Playoffs Before Finals,SAS,Kelly Olynyk,9,35.0,3.9,2.8,0.8,0.3,0.4,53.3,62.5,69.1,27.0,12.0,12.1,0.6
Playoffs Before Finals,SAS,Lindy Waters III,9,33.8,3.8,1.7,0.7,0.4,0.1,46.2,37.5,57.7,17.0,19.8,3.5,0.7
Finals Games 1-4,NYK,Jalen Brunson,4,154.6,38.7,29.5,4.5,5.0,4.0,39.6,34.5,49.9,36.5,24.6,10.3,-0.5
Finals Games 1-4,NYK,OG Anunoby,4,147.3,36.8,23.8,4.0,1.3,0.5,58.0,55.6,78.4,18.1,5.9,2.8,-4.8
Finals Games 1-4,NYK,Karl-Anthony Towns,4,132.1,33.0,15.8,10.8,2.8,2.0,54.8,40.0,66.0,17.1,13.7,13.1,12.0
Finals Games 1-4,NYK,Mikal Bridges,4,125.9,31.5,9.5,4.0,3.3,0.8,45.5,41.7,54.7,12.7,15.8,6.3,6.8
Finals Games 1-4,NYK,Josh Hart,4,112.7,28.2,6.3,9.5,5.3,1.5,39.1,35.7,50.5,11.5,25.8,11.4,5.8
Finals Games 1-4,NYK,Landry Shamet,4,107.3,26.8,7.3,2.3,1.3,0.0,34.4,31.8,45.3,12.4,7.8,0.0,-8.5
Finals Games 1-4,NYK,Miles McBride,4,53.6,13.4,2.8,0.8,1.5,0.8,20.0,20.0,27.5,17.3,13.8,11.6,-0.5
Finals Games 1-4,NYK,Jose Alvarado,4,49.0,12.3,5.3,3.0,1.8,0.5,42.1,30.0,51.7,19.2,18.9,6.8,7.8
Finals Games 1-4,NYK,Mitchell Robinson,4,47.2,11.8,4.0,4.5,0.3,0.5,50.0,,45.1,17.4,5.5,8.0,-10.3
Finals Games 1-4,SAS,Victor Wembanyama,4,160.8,40.2,27.8,10.5,2.8,2.8,43.5,29.6,54.8,30.1,13.7,8.2,2.8
Finals Games 1-4,SAS,Devin Vassell,4,152.5,38.1,13.0,6.8,3.0,0.8,51.5,48.0,72.1,10.3,12.8,7.6,-0.5
Finals Games 1-4,SAS,De'Aaron Fox,4,145.8,36.5,14.3,3.8,6.3,3.3,38.2,30.0,48.0,21.6,27.9,13.5,-1.0
Finals Games 1-4,SAS,Julian Champagnie,4,126.8,31.7,10.3,5.0,2.0,0.0,37.1,37.9,54.5,12.3,9.3,0.0,-3.0
Finals Games 1-4,SAS,Stephon Castle,4,126.1,31.5,16.8,5.5,4.3,2.8,43.1,35.3,56.0,24.9,25.8,12.0,-5.0
Finals Games 1-4,SAS,Dylan Harper,4,124.0,31.0,16.3,6.8,2.8,1.5,48.1,23.8,57.2,21.8,15.2,8.5,2.8
Finals Games 1-4,SAS,Keldon Johnson,4,58.8,14.7,3.8,2.5,0.8,0.8,33.3,20.0,36.3,17.4,8.5,9.7,2.3
Finals Games 1-4,SAS,Luke Kornet,4,31.4,7.8,0.8,2.3,0.5,0.0,0.0,,54.3,3.7,6.6,0.0,-4.8
Last 10 Before Game 5,NYK,Jalen Brunson,10,379.7,38.0,27.5,4.0,6.6,2.9,44.4,33.3,54.7,31.5,28.1,8.0,10.6
Last 10 Before Game 5,NYK,Mikal Bridges,10,342.6,34.3,14.7,4.0,3.1,1.1,54.1,34.4,62.0,16.2,12.6,7.0,13.4
Last 10 Before Game 5,NYK,Karl-Anthony Towns,10,316.0,31.6,15.1,10.7,4.4,2.0,54.4,45.2,65.7,18.2,18.9,11.0,15.3
Last 10 Before Game 5,NYK,Josh Hart,10,304.4,30.4,11.1,8.9,4.7,2.0,45.7,36.0,55.7,17.0,22.4,12.4,7.6
Last 10 Before Game 5,NYK,OG Anunoby,8,271.2,33.9,20.0,4.9,2.3,0.6,53.3,47.8,72.6,18.3,9.7,3.4,5.4
Last 10 Before Game 5,NYK,Landry Shamet,10,223.9,22.4,9.5,1.8,1.0,0.4,52.5,55.8,73.1,12.8,6.6,4.6,5.2
Last 10 Before Game 5,NYK,Miles McBride,10,166.0,16.6,6.0,1.5,1.4,0.3,34.5,37.2,52.0,15.3,10.9,3.7,5.5
Last 10 Before Game 5,NYK,Mitchell Robinson,10,136.0,13.6,4.6,5.3,0.2,0.5,54.8,,47.8,16.6,3.1,7.5,-1.0
Last 10 Before Game 5,NYK,Jose Alvarado,10,95.6,9.6,4.1,1.7,1.1,0.6,47.2,27.8,54.9,18.9,15.2,8.9,6.1
Last 10 Before Game 5,NYK,Jordan Clarkson,9,79.6,8.8,3.7,1.6,0.8,1.0,46.4,44.4,55.4,19.4,12.1,19.6,3.4
Last 10 Before Game 5,NYK,Ariel Hukporti,4,30.2,7.6,1.8,2.5,0.5,0.3,40.0,0.0,45.8,11.0,8.6,5.7,-0.5
Last 10 Before Game 5,SAS,Victor Wembanyama,10,376.2,37.6,26.1,9.4,3.0,2.7,45.0,35.4,58.1,28.3,15.7,9.0,5.7
Last 10 Before Game 5,SAS,Devin Vassell,10,354.2,35.4,13.6,5.5,2.7,0.7,43.9,43.5,62.9,13.3,11.6,5.9,2.9
Last 10 Before Game 5,SAS,Stephon Castle,10,329.9,33.0,17.6,5.1,5.9,3.2,46.3,29.3,59.1,24.0,30.3,12.4,-1.8
Last 10 Before Game 5,SAS,Julian Champagnie,10,320.1,32.0,11.3,5.4,1.8,0.4,40.4,35.6,55.9,13.7,8.3,2.5,1.5
Last 10 Before Game 5,SAS,De'Aaron Fox,9,301.2,33.5,12.6,4.6,6.2,2.2,37.3,26.2,45.0,20.4,29.6,9.9,1.3
Last 10 Before Game 5,SAS,Dylan Harper,10,260.7,26.1,12.5,5.6,2.8,1.7,48.4,32.4,58.5,20.2,17.6,11.8,5.0
Last 10 Before Game 5,SAS,Keldon Johnson,10,168.4,16.8,7.1,3.0,0.7,1.0,38.7,27.6,44.0,21.6,7.3,9.6,-0.5
Last 10 Before Game 5,SAS,Luke Kornet,10,95.5,9.5,2.2,3.0,0.4,0.3,50.0,,56.4,9.1,4.9,7.2,-4.8
Last 10 Before Game 5,SAS,Harrison Barnes,8,69.2,8.6,2.0,1.1,0.1,0.5,21.4,25.0,44.5,13.0,1.9,13.8,0.1
Last 10 Before Game 5,SAS,Carter Bryant,10,60.0,6.0,2.3,1.0,0.2,0.6,50.0,36.4,60.9,18.3,5.7,33.1,-3.7
